Index,Entry Date,Entry Time,Exit Date,Exit Time,Type,Strike,B/S,Qty,Entry Price,Exit Price,Vix,P/L
1,01-01-2024, 9:45:00 AM,01-01-2024, 10:25:00 AM,,,,,,,14.56,-1000
1.1,01-01-2024, 9:45:00 AM,01-01-2024, 9:54:00 AM,CE,72100,Sell,20,530.95,580.95,,-1000
1.2,01-01-2024, 9:45:00 AM,01-01-2024, 10:25:00 AM,PE,72100,Sell,20,399.4,399.4,,0
2,01-01-2024, 11:45:00 AM,01-01-2024, 3:15:00 PM,,,,,,,14.49,-418
2.1,01-01-2024, 11:45:00 AM,01-01-2024, 1:31:00 PM,CE,72200,Sell,20,524.4,574.4,,-1000
2.2,01-01-2024, 11:45:00 AM,01-01-2024, 3:15:00 PM,PE,72200,Sell,20,379.3,350.2,,582
3,02-01-2024, 9:45:00 AM,02-01-2024, 11:37:00 AM,,,,,,,14.61,3571
3.1,02-01-2024, 9:45:00 AM,02-01-2024, 11:37:00 AM,CE,72200,Sell,20,457.1,228.55,,4571
3.2,02-01-2024, 9:45:00 AM,02-01-2024, 9:56:00 AM,PE,72200,Sell,20,348.9,398.9,,-1000
4,02-01-2024, 11:45:00 AM,02-01-2024, 1:05:00 PM,,,,,,,14.87,-1000
4.1,02-01-2024, 11:45:00 AM,02-01-2024, 12:17:00 PM,CE,71700,Sell,20,467.1,517.1,,-1000
4.2,02-01-2024, 11:45:00 AM,02-01-2024, 1:05:00 PM,PE,71700,Sell,20,388.25,388.25,,0
5,03-01-2024, 9:45:00 AM,03-01-2024, 10:21:00 AM,,,,,,,14.67,-1000
5.1,03-01-2024, 9:45:00 AM,03-01-2024, 10:05:00 AM,CE,71500,Sell,20,396.75,446.75,,-1000
5.2,03-01-2024, 9:45:00 AM,03-01-2024, 10:21:00 AM,PE,71500,Sell,20,344.3,344.3,,0
6,03-01-2024, 11:45:00 AM,03-01-2024, 3:09:00 PM,,,,,,,14.42,2450
6.1,03-01-2024, 11:45:00 AM,03-01-2024, 3:09:00 PM,CE,71600,Sell,20,345,172.5,,3450
6.2,03-01-2024, 11:45:00 AM,03-01-2024, 12:23:00 PM,PE,71600,Sell,20,292.75,342.75,,-1000
7,04-01-2024, 9:45:00 AM,04-01-2024, 12:30:00 PM,,,,,,,13.88,1153
7.1,04-01-2024, 9:45:00 AM,04-01-2024, 11:17:00 AM,CE,71700,Sell,20,257.6,307.6,,-1000
7.2,04-01-2024, 9:45:00 AM,04-01-2024, 12:30:00 PM,PE,71700,Sell,20,215.3,107.65,,2153
8,04-01-2024, 11:45:00 AM,04-01-2024, 3:15:00 PM,,,,,,,13.63,737
8.1,04-01-2024, 11:45:00 AM,04-01-2024, 12:48:00 PM,CE,71800,Sell,20,222.75,272.75,,-1000
8.2,04-01-2024, 11:45:00 AM,04-01-2024, 3:15:00 PM,PE,71800,Sell,20,183.5,96.65,,1737
9,05-01-2024, 9:45:00 AM,05-01-2024, 10:44:00 AM,,,,,,,13.13,49
9.1,05-01-2024, 9:45:00 AM,05-01-2024, 10:44:00 AM,CE,72100,Sell,20,104.9,52.45,,1049
9.2,05-01-2024, 9:45:00 AM,05-01-2024, 10:44:00 AM,PE,72100,Sell,20,103.5,153.5,,-1000
10,05-01-2024, 11:45:00 AM,05-01-2024, 2:04:00 PM,,,,,,,13.06,1474
10.1,05-01-2024, 11:45:00 AM,05-01-2024, 2:04:00 PM,CE,71900,Sell,20,95.7,47.85,,957
10.2,05-01-2024, 11:45:00 AM,05-01-2024, 1:14:00 PM,PE,71900,Sell,20,51.65,25.8,,517
11,08-01-2024, 9:45:00 AM,08-01-2024, 10:53:00 AM,,,,,,,13.15,-1000
11.1,08-01-2024, 9:45:00 AM,08-01-2024, 10:31:00 AM,CE,71900,Sell,20,437.4,487.4,,-1000
11.2,08-01-2024, 9:45:00 AM,08-01-2024, 10:53:00 AM,PE,71900,Sell,20,382.75,382.75,,0
12,08-01-2024, 11:45:00 AM,08-01-2024, 3:15:00 PM,,,,,,,13.12,2666
12.1,08-01-2024, 11:45:00 AM,08-01-2024, 3:15:00 PM,CE,71800,Sell,20,430,246.7,,3666
12.2,08-01-2024, 11:45:00 AM,08-01-2024, 11:52:00 AM,PE,71800,Sell,20,366.7,416.7,,-1000
13,09-01-2024, 9:45:00 AM,09-01-2024, 2:21:00 PM,,,,,,,13.1,-1000
13.1,09-01-2024, 9:45:00 AM,09-01-2024, 10:14:00 AM,CE,71700,Sell,20,387.3,437.3,,-1000
13.2,09-01-2024, 9:45:00 AM,09-01-2024, 2:21:00 PM,PE,71700,Sell,20,361.4,361.4,,0
14,09-01-2024, 11:45:00 AM,09-01-2024, 1:53:00 PM,,,,,,,13.12,-1000
14.1,09-01-2024, 11:45:00 AM,09-01-2024, 12:39:00 PM,CE,72000,Sell,20,366.5,416.5,,-1000
14.2,09-01-2024, 11:45:00 AM,09-01-2024, 1:53:00 PM,PE,72000,Sell,20,350.7,350.7,,0
15,10-01-2024, 9:45:00 AM,10-01-2024, 10:19:00 AM,,,,,,,13.43,-1000
15.1,10-01-2024, 9:45:00 AM,10-01-2024, 10:19:00 AM,CE,71400,Sell,20,372.65,372.65,,0
15.2,10-01-2024, 9:45:00 AM,10-01-2024, 9:49:00 AM,PE,71400,Sell,20,313.2,363.2,,-1000
16,10-01-2024, 11:45:00 AM,10-01-2024, 2:18:00 PM,,,,,,,13.46,-1000
16.1,10-01-2024, 11:45:00 AM,10-01-2024, 2:18:00 PM,CE,71400,Sell,20,342.15,342.15,,0
16.2,10-01-2024, 11:45:00 AM,10-01-2024, 12:06:00 PM,PE,71400,Sell,20,320.75,370.75,,-1000
17,11-01-2024, 9:45:00 AM,11-01-2024, 2:11:00 PM,,,,,,,13.04,1431
17.1,11-01-2024, 9:45:00 AM,11-01-2024, 2:11:00 PM,CE,71900,Sell,20,243.15,121.6,,2431
17.2,11-01-2024, 9:45:00 AM,11-01-2024, 10:32:00 AM,PE,71900,Sell,20,249.95,299.95,,-1000
18,11-01-2024, 11:45:00 AM,11-01-2024, 2:15:00 PM,,,,,,,12.93,1297
18.1,11-01-2024, 11:45:00 AM,11-01-2024, 2:15:00 PM,CE,71800,Sell,20,229.75,114.9,,2297
18.2,11-01-2024, 11:45:00 AM,11-01-2024, 2:11:00 PM,PE,71800,Sell,20,211.35,261.35,,-1000
19,12-01-2024, 9:45:00 AM,12-01-2024, 10:07:00 AM,,,,,,,12.5,427
19.1,12-01-2024, 9:45:00 AM,12-01-2024, 10:04:00 AM,CE,72100,Sell,20,82.65,132.65,,-1000
19.2,12-01-2024, 9:45:00 AM,12-01-2024, 10:07:00 AM,PE,72100,Sell,20,142.7,71.35,,1427
20,12-01-2024, 11:45:00 AM,12-01-2024, 1:32:00 PM,,,,,,,12.95,157
20.1,12-01-2024, 11:45:00 AM,12-01-2024, 1:32:00 PM,CE,72400,Sell,20,85.45,135.45,,-1000
20.2,12-01-2024, 11:45:00 AM,12-01-2024, 1:16:00 PM,PE,72400,Sell,20,115.7,57.85,,1157
21,15-01-2024, 9:45:00 AM,15-01-2024, 11:24:00 AM,,,,,,,13.68,-1000
21.1,15-01-2024, 9:45:00 AM,15-01-2024, 11:24:00 AM,CE,73200,Sell,20,494.8,494.8,,0
21.2,15-01-2024, 9:45:00 AM,15-01-2024, 9:52:00 AM,PE,73200,Sell,20,498.45,548.45,,-1000
22,15-01-2024, 11:45:00 AM,15-01-2024, 3:15:00 PM,,,,,,,13.62,771
22.1,15-01-2024, 11:45:00 AM,15-01-2024, 2:06:00 PM,CE,73200,Sell,20,472.6,522.6,,-1000
22.2,15-01-2024, 11:45:00 AM,15-01-2024, 3:15:00 PM,PE,73200,Sell,20,491.75,403.2,,1771
23,16-01-2024, 9:45:00 AM,16-01-2024, 10:02:00 AM,,,,,,,13.88,-1000
23.1,16-01-2024, 9:45:00 AM,16-01-2024, 9:49:00 AM,CE,73200,Sell,20,446.85,496.85,,-1000
23.2,16-01-2024, 9:45:00 AM,16-01-2024, 10:02:00 AM,PE,73200,Sell,20,423.5,423.5,,0
24,16-01-2024, 11:45:00 AM,16-01-2024, 3:15:00 PM,,,,,,,13.85,1234
24.1,16-01-2024, 11:45:00 AM,16-01-2024, 3:15:00 PM,CE,73300,Sell,20,413.2,301.5,,2234
24.2,16-01-2024, 11:45:00 AM,16-01-2024, 12:49:00 PM,PE,73300,Sell,20,415.8,465.8,,-1000
25,17-01-2024, 9:45:00 AM,17-01-2024, 1:15:00 PM,,,,,,,13.87,2913
25.1,17-01-2024, 9:45:00 AM,17-01-2024, 1:15:00 PM,CE,72400,Sell,20,391.3,195.65,,3913
25.2,17-01-2024, 9:45:00 AM,17-01-2024, 10:25:00 AM,PE,72400,Sell,20,409.8,459.8,,-1000
26,17-01-2024, 11:45:00 AM,17-01-2024, 12:15:00 PM,,,,,,,14.37,-1000
26.1,17-01-2024, 11:45:00 AM,17-01-2024, 12:15:00 PM,CE,71900,Sell,20,436.7,436.7,,0
26.2,17-01-2024, 11:45:00 AM,17-01-2024, 12:03:00 PM,PE,71900,Sell,20,419.95,469.95,,-1000
27,18-01-2024, 9:45:00 AM,18-01-2024, 10:10:00 AM,,,,,,,15.17,-1000
27.1,18-01-2024, 9:45:00 AM,18-01-2024, 10:10:00 AM,CE,71000,Sell,20,346.2,346.2,,0
27.2,18-01-2024, 9:45:00 AM,18-01-2024, 9:49:00 AM,PE,71000,Sell,20,416.65,466.65,,-1000
28,18-01-2024, 11:45:00 AM,18-01-2024, 12:27:00 PM,,,,,,,14.66,1848
28.1,18-01-2024, 11:45:00 AM,18-01-2024, 11:58:00 AM,CE,71200,Sell,20,304.4,354.4,,-1000
28.2,18-01-2024, 11:45:00 AM,18-01-2024, 12:27:00 PM,PE,71200,Sell,20,284.8,142.4,,2848
29,19-01-2024, 9:45:00 AM,19-01-2024, 9:58:00 AM,,,,,,,13.86,-1000
29.1,19-01-2024, 9:45:00 AM,19-01-2024, 9:58:00 AM,CE,71800,Sell,20,163.7,163.7,,0
29.2,19-01-2024, 9:45:00 AM,19-01-2024, 9:51:00 AM,PE,71800,Sell,20,148.9,198.9,,-1000
30,19-01-2024, 11:45:00 AM,19-01-2024, 2:16:00 PM,,,,,,,13.97,1877
30.1,19-01-2024, 11:45:00 AM,19-01-2024, 2:16:00 PM,CE,71700,Sell,20,66.9,33.45,,669
30.2,19-01-2024, 11:45:00 AM,19-01-2024, 12:54:00 PM,PE,71700,Sell,20,120.8,60.4,,1208
31,20-01-2024, 9:45:00 AM,20-01-2024, 10:17:00 AM,,,,,,,14.09,-1000
