"Index","Entry Date","Entry Time","Exit Date","Exit Time","Type","Strike","B/S","Qty","Entry Price","Exit Price","Vix","P/L"
"1","2024-01-01"," 9:20:00 AM","2024-01-01"," 2:42:00 PM","","","","","","","14.72","3390.00"
"1.1","2024-01-01"," 9:20:00 AM","2024-01-01"," 9:53:00 AM","CE","72100","Sell","20","518.65","568.65","","-1000.00"
"1.2","2024-01-01"," 9:20:00 AM","2024-01-01"," 2:42:00 PM","PE","72100","Sell","20","439.00","219.50","","4390.00"
"2","2024-01-01"," 11:20:00 AM","2024-01-01"," 3:15:00 PM","","","","","","","14.55","-807.00"
"2.1","2024-01-01"," 11:20:00 AM","2024-01-01"," 1:58:00 PM","CE","72200","Sell","20","543.40","593.40","","-1000.00"
"2.2","2024-01-01"," 11:20:00 AM","2024-01-01"," 3:15:00 PM","PE","72200","Sell","20","359.85","350.20","","193.00"
"3","2024-01-02"," 9:20:00 AM","2024-01-02"," 3:15:00 PM","","","","","","","14.71","2786.00"
"3.1","2024-01-02"," 9:20:00 AM","2024-01-02"," 3:15:00 PM","CE","72200","Sell","20","435.30","246.00","","3786.00"
"3.2","2024-01-02"," 9:20:00 AM","2024-01-02"," 9:56:00 AM","PE","72200","Sell","20","361.50","411.50","","-1000.00"
"4","2024-01-02"," 11:20:00 AM","2024-01-02"," 3:15:00 PM","","","","","","","14.91","1305.00"
"4.1","2024-01-02"," 11:20:00 AM","2024-01-02"," 12:17:00 PM","CE","71700","Sell","20","463.20","513.20","","-1000.00"
"4.2","2024-01-02"," 11:20:00 AM","2024-01-02"," 3:15:00 PM","PE","71700","Sell","20","405.35","290.10","","2305.00"
"5","2024-01-03"," 9:20:00 AM","2024-01-03"," 2:38:00 PM","","","","","","","14.69","2667.00"
"5.1","2024-01-03"," 9:20:00 AM","2024-01-03"," 2:38:00 PM","CE","71700","Sell","20","366.65","183.30","","3667.00"
"5.2","2024-01-03"," 9:20:00 AM","2024-01-03"," 9:38:00 AM","PE","71700","Sell","20","336.70","386.70","","-1000.00"
"6","2024-01-03"," 11:20:00 AM","2024-01-03"," 11:44:00 AM","","","","","","","14.43","-1000.00"
"6.1","2024-01-03"," 11:20:00 AM","2024-01-03"," 11:44:00 AM","CE","71600","Sell","20","336.15","336.15","","0.00"
"6.2","2024-01-03"," 11:20:00 AM","2024-01-03"," 11:34:00 AM","PE","71600","Sell","20","294.55","344.55","","-1000.00"
"7","2024-01-04"," 9:20:00 AM","2024-01-04"," 11:39:00 AM","","","","","","","13.98","1139.00"
"7.1","2024-01-04"," 9:20:00 AM","2024-01-04"," 9:30:00 AM","CE","71600","Sell","20","261.90","311.90","","-1000.00"
"7.2","2024-01-04"," 9:20:00 AM","2024-01-04"," 11:39:00 AM","PE","71600","Sell","20","213.95","107.00","","2139.00"
"8","2024-01-04"," 11:20:00 AM","2024-01-04"," 3:15:00 PM","","","","","","","13.74","2257.00"
"8.1","2024-01-04"," 11:20:00 AM","2024-01-04"," 3:15:00 PM","CE","71800","Sell","20","230.90","214.00","","338.00"
"8.2","2024-01-04"," 11:20:00 AM","2024-01-04"," 3:15:00 PM","PE","71800","Sell","20","191.85","95.90","","1919.00"
"9","2024-01-05"," 9:20:00 AM","2024-01-05"," 10:44:00 AM","","","","","","","13.28","33.00"
"9.1","2024-01-05"," 9:20:00 AM","2024-01-05"," 10:44:00 AM","CE","72100","Sell","20","103.25","51.60","","1033.00"
"9.2","2024-01-05"," 9:20:00 AM","2024-01-05"," 10:44:00 AM","PE","72100","Sell","20","101.65","151.65","","-1000.00"
"10","2024-01-05"," 11:20:00 AM","2024-01-05"," 2:06:00 PM","","","","","","","13.12","1458.00"
"10.1","2024-01-05"," 11:20:00 AM","2024-01-05"," 2:06:00 PM","CE","71900","Sell","20","82.35","41.20","","823.00"
"10.2","2024-01-05"," 11:20:00 AM","2024-01-05"," 12:23:00 PM","PE","71900","Sell","20","63.55","31.80","","635.00"
"11","2024-01-08"," 9:20:00 AM","2024-01-08"," 11:55:00 AM","","","","","","","13.14","3419.00"
"11.1","2024-01-08"," 9:20:00 AM","2024-01-08"," 11:55:00 AM","CE","72100","Sell","20","441.90","220.95","","4419.00"
"11.2","2024-01-08"," 9:20:00 AM","2024-01-08"," 9:34:00 AM","PE","72100","Sell","20","386.70","436.70","","-1000.00"
"12","2024-01-08"," 11:20:00 AM","2024-01-08"," 3:15:00 PM","","","","","","","13.20","2334.00"
"12.1","2024-01-08"," 11:20:00 AM","2024-01-08"," 3:15:00 PM","CE","71800","Sell","20","413.40","246.70","","3334.00"
"12.2","2024-01-08"," 11:20:00 AM","2024-01-08"," 11:53:00 AM","PE","71800","Sell","20","390.15","440.15","","-1000.00"
"13","2024-01-09"," 9:20:00 AM","2024-01-09"," 9:33:00 AM","","","","","","","13.06","-1000.00"
"13.1","2024-01-09"," 9:20:00 AM","2024-01-09"," 9:26:00 AM","CE","71800","Sell","20","356.25","406.25","","-1000.00"
"13.2","2024-01-09"," 9:20:00 AM","2024-01-09"," 9:33:00 AM","PE","71800","Sell","20","321.55","321.55","","0.00"
"14","2024-01-09"," 11:20:00 AM","2024-01-09"," 1:59:00 PM","","","","","","","13.10","-1000.00"
"14.1","2024-01-09"," 11:20:00 AM","2024-01-09"," 11:34:00 AM","CE","71900","Sell","20","388.75","438.75","","-1000.00"
"14.2","2024-01-09"," 11:20:00 AM","2024-01-09"," 1:59:00 PM","PE","71900","Sell","20","333.20","333.20","","0.00"
"15","2024-01-10"," 9:20:00 AM","2024-01-10"," 9:45:00 AM","","","","","","","13.46","-1000.00"
"15.1","2024-01-10"," 9:20:00 AM","2024-01-10"," 9:45:00 AM","CE","71400","Sell","20","360.85","360.85","","0.00"
"15.2","2024-01-10"," 9:20:00 AM","2024-01-10"," 9:26:00 AM","PE","71400","Sell","20","330.80","380.80","","-1000.00"
"16","2024-01-10"," 11:20:00 AM","2024-01-10"," 2:01:00 PM","","","","","","","13.51","-1000.00"
"16.1","2024-01-10"," 11:20:00 AM","2024-01-10"," 2:01:00 PM","CE","71400","Sell","20","328.95","328.95","","0.00"
"16.2","2024-01-10"," 11:20:00 AM","2024-01-10"," 12:45:00 PM","PE","71400","Sell","20","348.85","398.85","","-1000.00"
"17","2024-01-11"," 9:20:00 AM","2024-01-11"," 10:55:00 AM","","","","","","","12.92","1343.00"
"17.1","2024-01-11"," 9:20:00 AM","2024-01-11"," 10:55:00 AM","CE","72000","Sell","20","234.25","117.10","","2343.00"
"17.2","2024-01-11"," 9:20:00 AM","2024-01-11"," 9:43:00 AM","PE","72000","Sell","20","264.00","314.00","","-1000.00"
"18","2024-01-11"," 11:20:00 AM","2024-01-11"," 2:52:00 PM","","","","","","","12.95","-1000.00"
"18.1","2024-01-11"," 11:20:00 AM","2024-01-11"," 2:52:00 PM","CE","71800","Sell","20","219.50","219.50","","0.00"
"18.2","2024-01-11"," 11:20:00 AM","2024-01-11"," 2:11:00 PM","PE","71800","Sell","20","232.40","282.40","","-1000.00"
"19","2024-01-12"," 9:20:00 AM","2024-01-12"," 10:07:00 AM","","","","","","","12.75","107.00"
"19.1","2024-01-12"," 9:20:00 AM","2024-01-12"," 9:45:00 AM","CE","72000","Sell","20","122.50","172.50","","-1000.00"
"19.2","2024-01-12"," 9:20:00 AM","2024-01-12"," 10:07:00 AM","PE","72000","Sell","20","110.65","55.30","","1107.00"
"20","2024-01-12"," 11:20:00 AM","2024-01-12"," 1:32:00 PM","","","","","","","12.96","295.00"
"20.1","2024-01-12"," 11:20:00 AM","2024-01-12"," 1:32:00 PM","CE","72400","Sell","20","83.35","133.35","","-1000.00"
"20.2","2024-01-12"," 11:20:00 AM","2024-01-12"," 1:01:00 PM","PE","72400","Sell","20","129.55","64.80","","1295.00"
"21","2024-01-15"," 9:20:00 AM","2024-01-15"," 9:48:00 AM","","","","","","","13.62","-1000.00"
"21.1","2024-01-15"," 9:20:00 AM","2024-01-15"," 9:22:00 AM","CE","73200","Sell","20","493.45","543.45","","-1000.00"
"21.2","2024-01-15"," 9:20:00 AM","2024-01-15"," 9:48:00 AM","PE","73200","Sell","20","511.60","511.60","","0.00"
"22","2024-01-15"," 11:20:00 AM","2024-01-15"," 3:15:00 PM","","","","","","","13.60","959.00"
"22.1","2024-01-15"," 11:20:00 AM","2024-01-15"," 2:06:00 PM","CE","73200","Sell","20","473.05","523.05","","-1000.00"
"22.2","2024-01-15"," 11:20:00 AM","2024-01-15"," 3:15:00 PM","PE","73200","Sell","20","501.15","403.20","","1959.00"
"23","2024-01-16"," 9:20:00 AM","2024-01-16"," 10:02:00 AM","","","","","","","14.00","-1000.00"
"23.1","2024-01-16"," 9:20:00 AM","2024-01-16"," 9:49:00 AM","CE","73200","Sell","20","457.50","507.50","","-1000.00"
"23.2","2024-01-16"," 9:20:00 AM","2024-01-16"," 10:02:00 AM","PE","73200","Sell","20","426.60","426.60","","0.00"
"24","2024-01-16"," 11:20:00 AM","2024-01-16"," 3:15:00 PM","","","","","","","13.86","1918.00"
"24.1","2024-01-16"," 11:20:00 AM","2024-01-16"," 3:15:00 PM","CE","73400","Sell","20","402.75","256.85","","2918.00"
"24.2","2024-01-16"," 11:20:00 AM","2024-01-16"," 11:53:00 AM","PE","73400","Sell","20","430.10","480.10","","-1000.00"
"25","2024-01-17"," 9:20:00 AM","2024-01-17"," 11:35:00 AM","","","","","","","13.78","3337.00"
"25.1","2024-01-17"," 9:20:00 AM","2024-01-17"," 11:35:00 AM","CE","72500","Sell","20","433.65","216.80","","4337.00"
"25.2","2024-01-17"," 9:20:00 AM","2024-01-17"," 9:23:00 AM","PE","72500","Sell","20","400.45","450.45","","-1000.00"
"26","2024-01-17"," 11:20:00 AM","2024-01-17"," 2:42:00 PM","","","","","","","14.08","3100.00"
