"Index","Entry Date","Entry Time","Exit Date","Exit Time","Type","Strike","B/S","Qty","Entry Price","Exit Price","Vix","P/L"
"1","2024-01-01"," 9:45:00 AM","2024-01-01"," 10:25:00 AM","","","","","","","NA","-1000.00"
"1.1","2024-01-01"," 9:45:00 AM","2024-01-01"," 9:54:00 AM","CE","72100","Sell","20","530.95","580.95","","-1000.00"
"1.2","2024-01-01"," 9:45:00 AM","2024-01-01"," 10:25:00 AM","PE","72100","Sell","20","399.40","399.40","","0.00"
"2","2024-01-01"," 11:45:00 AM","2024-01-01"," 3:15:00 PM","","","","","","","NA","-418.00"
"2.1","2024-01-01"," 11:45:00 AM","2024-01-01"," 1:31:00 PM","CE","72200","Sell","20","524.40","574.40","","-1000.00"
"2.2","2024-01-01"," 11:45:00 AM","2024-01-01"," 3:15:00 PM","PE","72200","Sell","20","379.30","350.20","","582.00"
"3","2024-01-02"," 9:45:00 AM","2024-01-02"," 3:15:00 PM","","","","","","","NA","3222.00"
"3.1","2024-01-02"," 9:45:00 AM","2024-01-02"," 3:15:00 PM","CE","72200","Sell","20","457.10","246.00","","4222.00"
"3.2","2024-01-02"," 9:45:00 AM","2024-01-02"," 9:56:00 AM","PE","72200","Sell","20","348.90","398.90","","-1000.00"
"4","2024-01-02"," 11:45:00 AM","2024-01-02"," 1:05:00 PM","","","","","","","NA","-1000.00"
"4.1","2024-01-02"," 11:45:00 AM","2024-01-02"," 12:17:00 PM","CE","71700","Sell","20","467.10","517.10","","-1000.00"
"4.2","2024-01-02"," 11:45:00 AM","2024-01-02"," 1:05:00 PM","PE","71700","Sell","20","388.25","388.25","","0.00"
"5","2024-01-03"," 9:45:00 AM","2024-01-03"," 10:21:00 AM","","","","","","","NA","-1000.00"
"5.1","2024-01-03"," 9:45:00 AM","2024-01-03"," 10:05:00 AM","CE","71500","Sell","20","396.75","446.75","","-1000.00"
"5.2","2024-01-03"," 9:45:00 AM","2024-01-03"," 10:21:00 AM","PE","71500","Sell","20","344.30","344.30","","0.00"
"6","2024-01-03"," 11:45:00 AM","2024-01-03"," 3:15:00 PM","","","","","","","NA","2433.00"
"6.1","2024-01-03"," 11:45:00 AM","2024-01-03"," 3:15:00 PM","CE","71600","Sell","20","345.00","173.35","","3433.00"
"6.2","2024-01-03"," 11:45:00 AM","2024-01-03"," 12:23:00 PM","PE","71600","Sell","20","292.75","342.75","","-1000.00"
"7","2024-01-04"," 9:45:00 AM","2024-01-04"," 3:15:00 PM","","","","","","","NA","1992.00"
"7.1","2024-01-04"," 9:45:00 AM","2024-01-04"," 11:17:00 AM","CE","71700","Sell","20","257.60","307.60","","-1000.00"
"7.2","2024-01-04"," 9:45:00 AM","2024-01-04"," 3:15:00 PM","PE","71700","Sell","20","215.30","65.70","","2992.00"
"8","2024-01-04"," 11:45:00 AM","2024-01-04"," 3:15:00 PM","","","","","","","NA","737.00"
"8.1","2024-01-04"," 11:45:00 AM","2024-01-04"," 12:48:00 PM","CE","71800","Sell","20","222.75","272.75","","-1000.00"
"8.2","2024-01-04"," 11:45:00 AM","2024-01-04"," 3:15:00 PM","PE","71800","Sell","20","183.50","96.65","","1737.00"
"9","2024-01-05"," 9:45:00 AM","2024-01-05"," 3:15:00 PM","","","","","","","NA","1077.00"
"9.1","2024-01-05"," 9:45:00 AM","2024-01-05"," 3:15:00 PM","CE","72100","Sell","20","104.90","1.05","","2077.00"
"9.2","2024-01-05"," 9:45:00 AM","2024-01-05"," 10:44:00 AM","PE","72100","Sell","20","103.50","153.50","","-1000.00"
"10","2024-01-05"," 11:45:00 AM","2024-01-05"," 3:15:00 PM","","","","","","","NA","25.00"
"10.1","2024-01-05"," 11:45:00 AM","2024-01-05"," 3:06:00 PM","CE","71900","Sell","20","95.70","145.70","","-1000.00"
"10.2","2024-01-05"," 11:45:00 AM","2024-01-05"," 3:15:00 PM","PE","71900","Sell","20","51.65","0.40","","1025.00"
"11","2024-01-08"," 9:45:00 AM","2024-01-08"," 10:53:00 AM","","","","","","","NA","-1000.00"
"11.1","2024-01-08"," 9:45:00 AM","2024-01-08"," 10:31:00 AM","CE","71900","Sell","20","437.40","487.40","","-1000.00"
"11.2","2024-01-08"," 9:45:00 AM","2024-01-08"," 10:53:00 AM","PE","71900","Sell","20","382.75","382.75","","0.00"
"12","2024-01-08"," 11:45:00 AM","2024-01-08"," 3:15:00 PM","","","","","","","NA","2666.00"
"12.1","2024-01-08"," 11:45:00 AM","2024-01-08"," 3:15:00 PM","CE","71800","Sell","20","430.00","246.70","","3666.00"
"12.2","2024-01-08"," 11:45:00 AM","2024-01-08"," 11:52:00 AM","PE","71800","Sell","20","366.70","416.70","","-1000.00"
"13","2024-01-09"," 9:45:00 AM","2024-01-09"," 2:21:00 PM","","","","","","","NA","-1000.00"
"13.1","2024-01-09"," 9:45:00 AM","2024-01-09"," 10:14:00 AM","CE","71700","Sell","20","387.30","437.30","","-1000.00"
"13.2","2024-01-09"," 9:45:00 AM","2024-01-09"," 2:21:00 PM","PE","71700","Sell","20","361.40","361.40","","0.00"
"14","2024-01-09"," 11:45:00 AM","2024-01-09"," 1:53:00 PM","","","","","","","NA","-1000.00"
"14.1","2024-01-09"," 11:45:00 AM","2024-01-09"," 12:39:00 PM","CE","72000","Sell","20","366.50","416.50","","-1000.00"
"14.2","2024-01-09"," 11:45:00 AM","2024-01-09"," 1:53:00 PM","PE","72000","Sell","20","350.70","350.70","","0.00"
"15","2024-01-10"," 9:45:00 AM","2024-01-10"," 10:19:00 AM","","","","","","","NA","-1000.00"
"15.1","2024-01-10"," 9:45:00 AM","2024-01-10"," 10:19:00 AM","CE","71400","Sell","20","372.65","372.65","","0.00"
"15.2","2024-01-10"," 9:45:00 AM","2024-01-10"," 9:49:00 AM","PE","71400","Sell","20","313.20","363.20","","-1000.00"
"16","2024-01-10"," 11:45:00 AM","2024-01-10"," 2:18:00 PM","","","","","","","NA","-1000.00"
"16.1","2024-01-10"," 11:45:00 AM","2024-01-10"," 2:18:00 PM","CE","71400","Sell","20","342.15","342.15","","0.00"
"16.2","2024-01-10"," 11:45:00 AM","2024-01-10"," 12:06:00 PM","PE","71400","Sell","20","320.75","370.75","","-1000.00"
"17","2024-01-11"," 9:45:00 AM","2024-01-11"," 3:15:00 PM","","","","","","","NA","1163.00"
"17.1","2024-01-11"," 9:45:00 AM","2024-01-11"," 3:15:00 PM","CE","71900","Sell","20","243.15","135.00","","2163.00"
"17.2","2024-01-11"," 9:45:00 AM","2024-01-11"," 10:32:00 AM","PE","71900","Sell","20","249.95","299.95","","-1000.00"
"18","2024-01-11"," 11:45:00 AM","2024-01-11"," 3:15:00 PM","","","","","","","NA","-13.00"
"18.1","2024-01-11"," 11:45:00 AM","2024-01-11"," 3:15:00 PM","CE","71800","Sell","20","229.75","180.40","","987.00"
"18.2","2024-01-11"," 11:45:00 AM","2024-01-11"," 2:11:00 PM","PE","71800","Sell","20","211.35","261.35","","-1000.00"
"19","2024-01-12"," 9:45:00 AM","2024-01-12"," 3:15:00 PM","","","","","","","NA","1846.00"
"19.1","2024-01-12"," 9:45:00 AM","2024-01-12"," 10:04:00 AM","CE","72100","Sell","20","82.65","132.65","","-1000.00"
"19.2","2024-01-12"," 9:45:00 AM","2024-01-12"," 3:15:00 PM","PE","72100","Sell","20","142.70","0.40","","2846.00"
"20","2024-01-12"," 11:45:00 AM","2024-01-12"," 3:15:00 PM","","","","","","","NA","1298.00"
"20.1","2024-01-12"," 11:45:00 AM","2024-01-12"," 1:32:00 PM","CE","72400","Sell","20","85.45","135.45","","-1000.00"
"20.2","2024-01-12"," 11:45:00 AM","2024-01-12"," 3:15:00 PM","PE","72400","Sell","20","115.70","0.80","","2298.00"
"21","2024-01-15"," 9:45:00 AM","2024-01-15"," 11:24:00 AM","","","","","","","NA","-1000.00"
"21.1","2024-01-15"," 9:45:00 AM","2024-01-15"," 11:24:00 AM","CE","73200","Sell","20","494.80","494.80","","0.00"
"21.2","2024-01-15"," 9:45:00 AM","2024-01-15"," 9:52:00 AM","PE","73200","Sell","20","498.45","548.45","","-1000.00"
"22","2024-01-15"," 11:45:00 AM","2024-01-15"," 3:15:00 PM","","","","","","","NA","771.00"
"22.1","2024-01-15"," 11:45:00 AM","2024-01-15"," 2:06:00 PM","CE","73200","Sell","20","472.60","522.60","","-1000.00"
"22.2","2024-01-15"," 11:45:00 AM","2024-01-15"," 3:15:00 PM","PE","73200","Sell","20","491.75","403.20","","1771.00"
"23","2024-01-16"," 9:45:00 AM","2024-01-16"," 10:02:00 AM","","","","","","","NA","-1000.00"
"23.1","2024-01-16"," 9:45:00 AM","2024-01-16"," 9:49:00 AM","CE","73200","Sell","20","446.85","496.85","","-1000.00"
"23.2","2024-01-16"," 9:45:00 AM","2024-01-16"," 10:02:00 AM","PE","73200","Sell","20","423.50","423.50","","0.00"
"24","2024-01-16"," 11:45:00 AM","2024-01-16"," 3:15:00 PM","","","","","","","NA","1234.00"
"24.1","2024-01-16"," 11:45:00 AM","2024-01-16"," 3:15:00 PM","CE","73300","Sell","20","413.20","301.50","","2234.00"
"24.2","2024-01-16"," 11:45:00 AM","2024-01-16"," 12:49:00 PM","PE","73300","Sell","20","415.80","465.80","","-1000.00"
