Date,Index,Expiry,Type,Strike,Qty,Entry_Price,Entry_Time,Exit_Price,Exit_Time,PL,Exit_Reason,Instr_PL,Instr_Category,Day_PL,Day_Category,VIX_Open,VIX_High,VIX_Low,VIX_Close,VIX_Change_Pct
07-07-2026,SENSEX,09-Jul-2026,CE,78400,20,293.4,09:44,344.0,10:09,-1012.0,₹50 SL,-1048.0,₹50 SL + BE hit,1582.0,Mixed: ₹50+BE + ₹50 SL,11.82,11.94,11.06,11.65,-1.44
07-07-2026,SENSEX,09-Jul-2026,PE,78400,20,315.0,09:44,316.8,13:11,-36.0,BE Trail,-1048.0,₹50 SL + BE hit,1582.0,Mixed: ₹50+BE + ₹50 SL,11.82,11.94,11.06,11.65,-1.44
07-07-2026,SENSEX,09-Jul-2026,CE,78600,20,283.6,11:44,101.95,15:14,3633.0,EOD,2630.0,₹50 SL only,1582.0,Mixed: ₹50+BE + ₹50 SL,11.82,11.94,11.06,11.65,-1.44
07-07-2026,SENSEX,09-Jul-2026,PE,78600,20,307.7,11:44,357.85,12:32,-1003.0,₹50 SL,2630.0,₹50 SL only,1582.0,Mixed: ₹50+BE + ₹50 SL,11.82,11.94,11.06,11.65,-1.44
08-07-2026,SENSEX,09-Jul-2026,CE,77600,20,270.45,09:45,320.5,09:53,-1001.0,₹50 SL,-1036.0,₹50 SL + BE hit,1857.0,Mixed: ₹50+BE + ₹50 SL,11.65,15.16,11.34,14.68,26.01
08-07-2026,SENSEX,09-Jul-2026,PE,77600,20,275.2,09:45,276.95,12:15,-35.0,BE Trail,-1036.0,₹50 SL + BE hit,1857.0,Mixed: ₹50+BE + ₹50 SL,11.65,15.16,11.34,14.68,26.01
08-07-2026,SENSEX,09-Jul-2026,CE,77700,20,228.1,11:45,32.15,15:14,3919.0,EOD,2893.0,₹50 SL only,1857.0,Mixed: ₹50+BE + ₹50 SL,11.65,15.16,11.34,14.68,26.01
08-07-2026,SENSEX,09-Jul-2026,PE,77700,20,258.7,11:45,310.0,12:09,-1026.0,₹50 SL,2893.0,₹50 SL only,1857.0,Mixed: ₹50+BE + ₹50 SL,11.65,15.16,11.34,14.68,26.01
09-07-2026,SENSEX,09-Jul-2026,CE,77000,20,188.7,09:45,190.3,10:41,-32.0,BE Trail,-1079.0,₹50 SL + BE hit,814.0,Mixed: ₹50+BE + ₹50 SL,14.68,14.68,13.07,13.36,-8.99
09-07-2026,SENSEX,09-Jul-2026,PE,77000,20,180.65,09:45,233.0,10:37,-1047.0,₹50 SL,-1079.0,₹50 SL + BE hit,814.0,Mixed: ₹50+BE + ₹50 SL,14.68,14.68,13.07,13.36,-8.99
09-07-2026,SENSEX,09-Jul-2026,CE,77100,20,148.3,11:45,0.2,15:14,2962.0,EOD,1893.0,₹50 SL only,814.0,Mixed: ₹50+BE + ₹50 SL,14.68,14.68,13.07,13.36,-8.99
09-07-2026,SENSEX,09-Jul-2026,PE,77100,20,154.0,11:45,207.45,12:34,-1069.0,₹50 SL,1893.0,₹50 SL only,814.0,Mixed: ₹50+BE + ₹50 SL,14.68,14.68,13.07,13.36,-8.99
10-07-2026,SENSEX,16-Jul-2026,CE,77500,20,549.7,09:45,500.25,15:15,989.0,EOD,2224.0,Both: EOD,2822.0,1 Instr: ₹50 SL only,13.36,13.36,12.13,12.25,-8.31
10-07-2026,SENSEX,16-Jul-2026,PE,77500,20,486.2,09:45,424.45,15:15,1235.0,EOD,2224.0,Both: EOD,2822.0,1 Instr: ₹50 SL only,13.36,13.36,12.13,12.25,-8.31
